Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation bpb: 3.3018
step 00000/21400 (0.00%) | loss: 11.090355 | grad norm: 0.4316 | lrm: 1.00 | dt: 44630.15ms | tok/sec: 11,747 | mfu: 4.15 | total time: 0.00m
step 00001/21400 (0.00%) | loss: 10.817602 | grad norm: 10.9597 | lrm: 1.00 | dt: 4426.41ms | tok/sec: 118,445 | mfu: 41.82 | total time: 0.00m
step 00002/21400 (0.01%) | loss: 10.196639 | grad norm: 5.8058 | lrm: 1.00 | dt: 4995.46ms | tok/sec: 104,952 | mfu: 37.05 | total time: 0.00m
step 00003/21400 (0.01%) | loss: 9.489655 | grad norm: 4.5407 | lrm: 1.00 | dt: 5054.17ms | tok/sec: 103,733 | mfu: 36.62 | total time: 0.00m
step 00004/21400 (0.02%) | loss: 8.931568 | grad norm: 7.9756 | lrm: 1.00 | dt: 5079.45ms | tok/sec: 103,217 | mfu: 36.44 | total time: 0.00m
step 00005/21400 (0.02%) | loss: 8.525458 | grad norm: 5.2087 | lrm: 1.00 | dt: 5029.23ms | tok/sec: 104,248 | mfu: 36.81 | total time: 0.00m
step 00006/21400 (0.03%) | loss: 8.227435 | grad norm: 4.5275 | lrm: 1.00 | dt: 5056.23ms | tok/sec: 103,691 | mfu: 36.61 | total time: 0.00m
step 00007/21400 (0.03%) | loss: 7.994752 | grad norm: 4.7304 | lrm: 1.00 | dt: 5074.86ms | tok/sec: 103,310 | mfu: 36.47 | total time: 0.00m
step 00008/21400 (0.04%) | loss: 7.817398 | grad norm: 4.5066 | lrm: 1.00 | dt: 5084.20ms | tok/sec: 103,121 | mfu: 36.41 | total time: 0.00m
step 00009/21400 (0.04%) | loss: 7.634243 | grad norm: 2.3870 | lrm: 1.00 | dt: 5100.64ms | tok/sec: 102,788 | mfu: 36.29 | total time: 0.00m
step 00010/21400 (0.05%) | loss: 7.482010 | grad norm: 2.9105 | lrm: 1.00 | dt: 5107.38ms | tok/sec: 102,653 | mfu: 36.24 | total time: 0.00m
step 00011/21400 (0.05%) | loss: 7.362425 | grad norm: 1.5322 | lrm: 1.00 | dt: 5154.30ms | tok/sec: 101,718 | mfu: 35.91 | total time: 0.09m
step 00012/21400 (0.06%) | loss: 7.262961 | grad norm: 2.3234 | lrm: 1.00 | dt: 5158.33ms | tok/sec: 101,639 | mfu: 35.88 | total time: 0.17m
step 00013/21400 (0.06%) | loss: 7.163676 | grad norm: 1.7018 | lrm: 1.00 | dt: 5107.65ms | tok/sec: 102,647 | mfu: 36.24 | total time: 0.26m
step 00014/21400 (0.07%) | loss: 7.069908 | grad norm: 2.5960 | lrm: 1.00 | dt: 5128.93ms | tok/sec: 102,221 | mfu: 36.09 | total time: 0.34m
step 00015/21400 (0.07%) | loss: 6.993915 | grad norm: 1.7949 | lrm: 1.00 | dt: 5134.51ms | tok/sec: 102,110 | mfu: 36.05 | total time: 0.43m
step 00016/21400 (0.07%) | loss: 6.921033 | grad norm: 1.9290 | lrm: 1.00 | dt: 5140.11ms | tok/sec: 101,999 | mfu: 36.01 | total time: 0.51m
step 00017/21400 (0.08%) | loss: 6.845239 | grad norm: 1.0127 | lrm: 1.00 | dt: 5148.35ms | tok/sec: 101,836 | mfu: 35.95 | total time: 0.60m
step 00018/21400 (0.08%) | loss: 6.781050 | grad norm: 1.0199 | lrm: 1.00 | dt: 5155.69ms | tok/sec: 101,691 | mfu: 35.90 | total time: 0.69m
step 00019/21400 (0.09%) | loss: 6.732378 | grad norm: 1.1358 | lrm: 1.00 | dt: 5183.24ms | tok/sec: 101,150 | mfu: 35.71 | total time: 0.77m
step 00020/21400 (0.09%) | loss: 6.688405 | grad norm: 1.4611 | lrm: 1.00 | dt: 5191.32ms | tok/sec: 100,993 | mfu: 35.66 | total time: 0.86m
step 00021/21400 (0.10%) | loss: 6.650911 | grad norm: 1.4324 | lrm: 1.00 | dt: 5144.72ms | tok/sec: 101,907 | mfu: 35.98 | total time: 0.94m
step 00022/21400 (0.10%) | loss: 6.634511 | grad norm: 1.6588 | lrm: 1.00 | dt: 5148.31ms | tok/sec: 101,836 | mfu: 35.95 | total time: 1.03m
step 00023/21400 (0.11%) | loss: 6.596628 | grad norm: 0.7679 | lrm: 1.00 | dt: 5172.60ms | tok/sec: 101,358 | mfu: 35.79 | total time: 1.12m
step 00024/21400 (0.11%) | loss: 6.559930 | grad norm: 1.6288 | lrm: 1.00 | dt: 5158.51ms | tok/sec: 101,635 | mfu: 35.88 | total time: 1.20m
